id,pop,tot_germ,seed1,awn1,seed2,awn2,seed3,awn3,seed4,awn4,seed5,awn5,avg_seed,avg_awn,awn_seed,awn_seed1,awn_seed2,awn_seed3,awn_seed4,awn_seed5,avg_awn_seed
257,10,1,8.73,3.68,8.23,3.14,9.77,4.27,7.34,2.28,7.59,2.55,8.332,3.184,0.382141143,0.421534937,0.381530984,0.437052201,0.310626703,0.335968379,0.453770869
26,11,0.857142857,9.3,4.72,9.51,5.25,10.09,5.79,11.17,6.74,9.73,4.94,9.96,5.488,0.551004016,0.507526882,0.552050473,0.573835481,0.60340197,0.507708119,0.659105388
37,11,1,14.07,8.32,12.98,7.87,13.78,8.46,13.17,8.2,14.86,10.09,13.772,8.588,0.623584084,0.591329069,0.606317411,0.613933237,0.622627183,0.679004038,0.747359004
62,11,1,12.28,6.67,12.19,6.5,12.59,6.64,12.94,7.28,12.17,6.97,12.434,6.812,0.547852662,0.543159609,0.533223954,0.527402701,0.5625966,0.572719803,0.657391066
83,11,0.714285714,11.15,6.05,9.99,5.87,11.36,6.42,10.55,5.78,11.73,7.09,10.956,6.242,0.569733479,0.542600897,0.587587588,0.565140845,0.547867299,0.604433078,0.683472637
84,11,1,14.77,9.52,14.36,8.35,12.69,7.77,14.42,9.91,13.69,9.01,13.986,8.912,0.637208637,0.644549763,0.581476323,0.612293144,0.687239945,0.658144631,0.764182489
122,11,1,12.64,7.96,11.83,7.25,12.1,7.24,11.38,6.94,14.17,8.73,12.424,7.624,0.613650998,0.629746835,0.61284869,0.598347107,0.609841828,0.616090332,0.736105158
131,11,1,11.66,7.04,15.19,10.6,15.51,10.08,15.09,10.12,13.1,7.92,14.11,9.152,0.648618001,0.603773585,0.697827518,0.649903288,0.67064281,0.604580153,0.775069071
146,11,0.857142857,14.39,9.58,14.38,9.56,14.96,9.6,13.67,9.37,12.41,7.35,13.962,9.092,0.651196104,0.665740097,0.664812239,0.64171123,0.685442575,0.592264303,0.78023331
275,11,1,12.92,7.68,12.25,7.04,12.99,9.16,13.82,8.54,13.95,10.21,13.186,8.526,0.646594873,0.594427245,0.574693878,0.705157814,0.617945007,0.731899642,0.774143692
280,11,0.714285714,11.11,6.19,13.29,8.36,11.88,7.15,11.47,6.36,11.9,7.03,11.93,7.018,0.588264878,0.557155716,0.629044394,0.601851852,0.554489974,0.590756303,0.704312623
2,13,0.428571429,9.67,4.77,11.55,5.89,15.23,9.26,12.66,7.67,11,5.28,12.022,6.574,0.54683081,0.49327818,0.50995671,0.608010506,0.605845182,0.48,0.648784277
45,13,0.714285714,9.97,5.02,10.24,4.37,9.48,5.37,9.33,4.87,8.33,4.31,9.47,4.788,0.505596621,0.503510532,0.426757813,0.566455696,0.521972133,0.517406963,0.608339951
70,13,0.714285714,13.78,9.15,10.98,5.46,11.72,7.46,12.49,6.83,11.03,6.59,12,7.098,0.5915,0.664005806,0.49726776,0.636518771,0.54683747,0.597461469,0.706718255
123,13,1,17.88,11.91,18.3,11.94,12.7,6.9,17.22,10.69,15.88,9.65,16.396,10.218,0.623200781,0.666107383,0.652459016,0.543307087,0.620789779,0.60768262,0.742709333
125,13,0.857142857,16.91,12.18,11.44,6.71,12.61,7.25,13.18,7.73,14.49,9.98,13.726,8.77,0.638933411,0.720283856,0.586538462,0.574940523,0.586494689,0.688750863,0.759188361
135,13,0.714285714,17.64,11.65,16.71,9.67,16.76,11.02,15.56,8.76,11.94,7.91,15.722,9.802,0.623457575,0.660430839,0.578695392,0.6575179,0.562982005,0.662479062,0.749112555
175,13,0.714285714,16.99,10.19,17.89,10.68,17.67,11.28,16.9,11.49,16.65,9.98,17.22,10.724,0.622764228,0.599764567,0.596981554,0.638370119,0.679881657,0.599399399,0.747432305
180,13,0.714285714,11.02,5.81,9.98,4.58,10.88,6.04,10.01,4.78,9.96,4.75,10.37,5.192,0.500675024,0.52722323,0.458917836,0.555147059,0.477522478,0.476907631,0.599278651
200,13,0.857142857,15.54,10.05,14.16,8.82,14.15,8.72,14.08,9.05,12.34,6.63,14.054,8.654,0.615767753,0.646718147,0.622881356,0.616254417,0.642755682,0.537277147,0.7363309
240,13,0.857142857,11.53,6.41,10.24,5.85,13.55,9.62,14.11,8.66,16,10.42,13.086,8.192,0.626012532,0.555941023,0.571289063,0.7099631,0.613749114,0.65125,0.745640966
4,15,1,11,6.62,12.98,7.99,11.1,6.47,10.93,6.79,11.16,6.25,11.434,6.824,0.596816512,0.601818182,0.615562404,0.582882883,0.621225984,0.560035842,0.715668361
14,15,0.857142857,11.62,6.36,11.91,6.08,11.81,6.62,12.22,7.06,11.87,6.79,11.886,6.582,0.553760727,0.547332186,0.510495382,0.560541914,0.577741408,0.572030329,0.664380389
46,15,0.714285714,16.67,10.09,17.34,11.31,15.54,9.4,15.63,8.8,16.53,10.06,16.342,9.932,0.607759148,0.605278944,0.652249135,0.604890605,0.563019834,0.608590442,0.728357622
88,15,0.714285714,13.75,8.45,13.82,9.04,12.82,8.25,13.5,9.4,13.56,8.47,13.49,8.722,0.646553002,0.614545455,0.654124457,0.643525741,0.696296296,0.624631268,0.775935244
106,15,0.857142857,14.24,7.97,14.89,9.18,14.59,8.45,15.8,9.95,14.82,8.39,14.868,8.788,0.591068066,0.559691011,0.616521155,0.579163811,0.629746835,0.566126856,0.708463547
113,15,1,11.94,6.54,12.51,6.26,11.84,6.48,12.84,6.78,9.94,5.03,11.814,6.218,0.5263247,0.547738693,0.50039968,0.547297297,0.528037383,0.506036217,0.631166794
152,15,1,15.8,9.56,15.58,9.72,16.8,11.49,15.03,8.51,15.53,8.7,15.748,9.596,0.609347219,0.605063291,0.623876765,0.683928571,0.566200931,0.560206053,0.729724566
197,15,0.857142857,9.6,5.11,11.57,7.65,10.93,6.62,10.92,6.69,10.86,5.84,10.776,6.382,0.592242019,0.532291667,0.66119274,0.605672461,0.612637363,0.537753223,0.708357894
236,15,1,13.09,7.4,17.17,11.22,15.87,8.94,15.2,9.2,14.52,8.45,15.17,9.042,0.596044825,0.565317036,0.653465347,0.563327032,0.605263158,0.581955923,0.713074664
310,15,1,7.13,2.73,7.6,2.22,7.86,3.48,6.93,4.05,8.2,3.58,7.544,3.212,0.425768823,0.382889201,0.292105263,0.442748092,0.584415584,0.436585366,0.512902466
3,16,0.857142857,9.77,5.43,11.06,6.76,8.42,4.3,9.67,5.48,10.94,6.18,9.972,5.63,0.564580826,0.555783009,0.611211573,0.510688836,0.566701138,0.564899452,0.674772967
35,16,0.571428571,9.95,6.5,9.2,5.04,9.84,3.47,12.91,8.01,8.89,5.02,10.158,5.608,0.552077181,0.653266332,0.547826087,0.352642276,0.620449264,0.564679415,0.658188111
85,16,0.714285714,12.9,7.12,12.59,8.14,10.86,5.79,11.73,6.41,11.62,7.85,11.94,7.062,0.591457286,0.551937984,0.646544877,0.533149171,0.546462063,0.67555938,0.709022153
105,16,1,14.58,9.05,12.3,8.05,12.05,7.12,13.21,7.83,11.51,5.76,12.73,7.562,0.594029851,0.620713306,0.654471545,0.590871369,0.592732778,0.500434405,0.710650651
110,16,1,8.04,4.04,8.55,4.3,8.59,5.23,6.95,3.04,8.28,4.37,8.082,4.196,0.519178421,0.502487562,0.502923977,0.608847497,0.437410072,0.527777778,0.619725061
134,16,1,11.93,6.12,8.75,4.43,12.61,7.4,13.81,7.7,12.46,7.1,11.912,6.55,0.549865682,0.512992456,0.506285714,0.586835845,0.55756698,0.569823435,0.656674022
215,16,0.714285714,12.73,7.41,11.37,7.01,10.79,5.93,12.15,7.64,11.22,6.88,11.652,6.974,0.598523859,0.582089552,0.616534741,0.549582947,0.628806584,0.613190731,0.717745683
